actor,avg_movie_rating,avg_votes_per_movie,total_movies,rating_std_dev,high_rated_movie_count,career_span,recent_avg_rating,is_rating_std_dev_missing,is_recent_avg_rating_missing
nm0026416,5.742857047489712,84.28571428571429,8,1.0325649846766392,0,65,5.742857047489712,0,1
nm0744392,6.362500004470348,163.78125,33,1.1389723438042112,1,65,6.450000047683716,0,0
nm0429916,5.457142932074411,401.1428571428572,7,1.5883505095177155,1,61,6.800000190734863,0,0
nm0683986,5.975862075542581,2732.551724137931,30,1.278854120192741,1,56,8.699999809265137,0,0
nm0355237,5.809090917760676,337.27272727272725,11,0.7049177562325943,0,55,6.400000095367432,0,0
nm0577414,6.066666709052192,271.0,9,0.4555216850635334,0,54,6.400000095367432,0,0
nm0309327,6.200000047683716,40.25,4,0.8906925858402057,0,54,5.800000190734863,0,0
nm0290117,5.833333253860474,169869.33333333334,6,1.4651506688015576,1,53,4.099999904632568,0,0
nm0481217,5.455172472986682,8360.206896551725,29,1.2497389227977524,0,59,5.766666730244954,0,0
nm0809184,5.755555576748318,1745.7777777777778,11,1.361167846468215,1,54,5.755555576748318,0,1
nm0078928,7.666666666666667,150.66666666666666,3,0.4932883635636337,1,51,7.950000047683716,0,0
nm0737928,5.822857121058873,2092.0,36,1.0361369729855996,0,55,5.099999904632568,0,0
nm0428933,6.122222158643934,29490.0,9,0.7917982758330606,0,50,5.599999904632568,0,0
nm10521038,6.500000095367431,995.8,8,1.5763883314911291,1,6,7.1250001192092896,0,0
nm9324099,3.866666634877523,152.33333333333334,3,1.803699855305696,0,2,3.866666634877523,0,0
nm4311746,5.99999984105428,6750.666666666667,4,1.0816653429639476,0,13,5.99999984105428,0,1
nm15041230,6.50000015894572,1401.0,4,0.7549834498429393,0,2,6.50000015894572,0,0
nm0513394,5.580952383223034,969.1428571428572,22,1.0347072727183746,0,27,5.599999904632568,0,0
nm7628634,5.1000000130046494,1082.7272727272727,14,0.9808160043210412,0,11,4.833333373069763,0,0
nm0939065,5.726923080591055,764.1538461538462,34,0.7937544159053119,0,34,5.860000038146973,0,0
nm0918099,6.5111111005147295,2191.222222222222,10,0.4859127710284927,0,43,7.0,0,0
nm0377897,5.799999872843425,53.333333333333336,3,1.2124356085599672,0,11,7.099999904632568,0,0
nm14469179,5.5,54.0,3,0.9384930852792726,0,1,5.5,1,0
nm14125573,6.6250001192092896,281.0,5,0.8808140887272752,0,3,6.6250001192092896,0,0
nm14564899,8.933333396911621,51.66666666666666,3,0.1527526896526577,3,1,8.933333396911621,0,0
nm4877001,6.177777740690443,1343.25,38,0.596710500291882,0,13,6.161538380842942,0,0
nm2224320,5.800000190734863,21.5,3,2.1213203435596424,0,16,4.300000190734863,0,0
nm5292635,7.149999976158142,281.25,4,0.9609021403105732,1,12,6.5,0,0
nm3211457,4.542857101985386,222.14285714285717,7,2.2485974279220184,1,5,4.542857101985386,0,0
nm0109253,5.2666666734786265,473.3809523809524,23,0.6865372091389046,0,32,5.366666793823242,0,0
nm2597601,6.3666666348775225,291.6666666666667,3,0.1527526376250597,0,6,6.299999952316284,0,0
nm2276657,7.049999952316284,459.5,5,1.60519985796626,1,16,7.25,0,0
nm10549050,6.799999986376081,248.28571428571428,8,1.3759844313487548,1,11,7.399999976158142,0,0
nm2588782,7.180000030994416,24.75,51,1.4395174843859722,7,29,7.899999936421712,0,0
nm0229352,5.356521793033766,216.0434782608696,28,1.282691141895387,0,45,5.356521793033766,0,1
nm2378513,5.900000095367432,35332.5,3,1.2727923410057007,0,13,5.0,0,0
nm4975360,6.872727307406339,2996.6363636363635,11,1.0070660334549433,2,10,7.400000095367432,0,0
nm1711114,6.2,44458.3,11,0.5577733130274397,0,11,5.850000143051148,0,0
nm12382468,5.879999923706055,576.2,5,0.7854935853430477,0,3,5.879999923706055,0,0
nm2512895,5.366666793823242,229.0,6,0.9237603756429889,0,13,5.366666793823242,0,1
nm4354338,7.066666603088379,210.66666666666663,3,0.5507570056674648,0,9,7.049999952316284,0,0
