tconst,director_id,director_score
tt10117768,nm1268012,6.7998733451423
tt10117768,nm1425885,6.7998733451423
tt10121110,nm0023481,6.500063857949461
tt10121392,nm1229520,5.050985543496481
tt10121702,nm4626339,6.200254370756621
tt10121904,nm10592213,6.100318033870356
tt10122486,nm9259804,6.9997460189148315
tt10122618,nm7867836,7.849205597249153
tt10123698,nm0023517,6.400127521063196
tt10123970,nm7263882,3.5685951564592506
tt10126040,nm0563243,4.651239719417377
tt10126136,nm1137907,3.901716716236342
tt10126368,nm2407490,4.5013352140879785
tt10126434,nm2063694,5.933757313548565
tt10126780,nm4238738,6.9997460189148315
tt10127410,nm0620378,5.272273418906952
tt10127464,nm4368774,3.9516848846794748
tt10127684,nm0545356,5.800508864366878
tt10127708,nm1438231,5.80050902321156
tt10127708,nm1027519,6.333503296472352
tt10127760,nm2025683,7.399491842993937
tt10127964,nm10571896,6.100318033870356
tt10127964,nm9923427,6.100318033870356
tt10128020,nm9832523,7.999110340845573
tt10128846,nm0000338,4.701207887860509
tt10131024,nm0142286,5.8671329301130415
tt10131028,nm1277685,4.101589390008873
tt10132068,nm6615114,5.900445360097825
tt10132196,nm0398719,2.7024794822660483
tt10132488,nm0946937,6.200254370756621
tt10132874,nm5698446,8.598729315231253
tt10132976,nm0308042,6.050349865427223
tt10133702,nm0190790,7.999110340845573
tt10134812,nm1536558,6.200254370756621
tt10134812,nm2407007,6.200254370756621
tt10136434,nm0322894,5.950413528540958
tt10136634,nm9768307,6.500063857949461
tt10137324,nm2728080,5.500699536018719
tt10140014,nm4868245,6.9997460189148315
tt10140990,nm1628224,8.848570395713939
tt10141026,nm9457572,6.400127521063196
tt10141678,nm3521846,4.3014625403154465
tt10143308,nm4193380,5.200890287092902
tt10144276,nm10602235,6.9997460189148315
tt10146208,nm5393462,6.550032026392594
tt10147370,nm4681303,7.799237667073042
tt10147370,nm4680944,7.949142410669462
tt10147568,nm10603686,6.00038169698409
tt10147568,nm10603685,6.00038169698409
tt10147580,nm0039402,6.400127521063196
