director_id,director_experience,director_quality,director_total_votes
nm11399915,1,4.900000095367432,218
nm11832606,1,6.5,120
nm11239150,1,6.900000095367432,49
nm6190049,3,6.300000031789144,2421
nm0898773,1,5.5,18992
nm7216456,1,8.300000190734863,10
nm0825350,1,5.800000190734863,49
nm1914394,2,4.050000071525574,12120
nm8861585,1,2.9000000953674316,21
nm1479322,2,5.450000047683716,3583
nm7246351,1,8.5,12
nm11848916,1,1.2999999523162842,1472
nm11208838,2,8.75,65
nm2576729,1,5.400000095367432,1305
nm1352510,2,4.149999976158142,146
nm3865589,1,7.800000190734863,17
nm11821045,1,8.600000381469727,8
nm0824638,2,6.75,200
nm2902621,13,4.346153901173518,817
nm11866420,2,5.700000047683716,822
nm11869496,1,6.800000190734863,18
nm3575075,1,4.400000095367432,560
nm3965248,5,3.9400000095367433,2436
nm6972362,1,4.5,166
nm2624880,1,3.0999999046325684,77
nm10615723,1,6.400000095367432,145
nm3512651,1,8.300000190734863,11
nm11881217,1,2.4000000953674316,363
nm6753606,6,5.449999968210856,221
nm11882035,1,9.199999809265137,20
nm1117383,1,5.900000095367432,9
nm0510731,5,5.979999923706055,279751
nm1507308,1,4.900000095367432,488
nm6916495,1,6.199999809265137,53
nm7668059,2,5.200000047683716,252
nm1916605,1,6.099999904632568,109
nm4775043,1,5.900000095367432,212
nm0166794,1,7.199999809265137,22
nm3754346,1,7.5,156
nm2270010,1,2.4000000953674316,134
nm0641622,1,7.800000190734863,5
nm10183171,2,5.950000047683716,101
nm8329749,1,6.199999809265137,12
nm5487427,1,4.699999809265137,87
nm2158116,1,4.300000190734863,549
nm11901676,1,9.0,6
nm4303734,2,7.200000047683716,28
nm3868583,1,8.800000190734863,6
nm5221906,1,8.899999618530273,10
nm3281213,1,4.800000190734863,631
nm2566836,1,7.099999904632568,25255
nm2575525,1,7.099999904632568,25255
nm2593421,1,3.299999952316284,2247
nm9426369,1,7.199999809265137,20
nm4111283,1,4.400000095367432,64
nm1683357,1,7.400000095367432,16
nm9484608,6,2.5166666507720947,2884
nm2500024,1,6.099999904632568,8
nm1633013,1,6.599999904632568,19
nm11496454,2,6.0,211
nm8150307,1,5.900000095367432,956
nm2178299,1,8.899999618530273,36
nm10859979,2,4.700000047683716,124
nm0160666,1,7.199999809265137,523
nm4621479,1,5.199999809265137,8
nm2587757,1,6.599999904632568,279
nm11178415,1,5.0,75
nm1789418,2,7.799999713897705,187
nm7216945,1,7.199999809265137,177
nm9076331,1,7.199999809265137,5
nm4172216,1,7.800000190734863,12
nm7222062,2,6.700000047683716,186
nm4584004,1,7.800000190734863,11673
nm1220246,2,5.049999952316284,1554
nm5070700,2,7.050000190734863,483
nm11954666,1,8.0,5
nm8039947,1,9.399999618530273,25
nm11956352,2,8.450000286102295,38
