tconst,primaryTitle,startYear,averageRating,numVotes,genre_score,movie_writer_quality,movie_actor_score,budget,director_quality,top_3_actor_scores
tt27718223,A Flash of Beauty: Paranormal Bigfoot,2024,7.8,56,7.213336372265705,7.3500001430511475,9.27977997839325,4388240.25,7.3500001430511475,751.0
tt15245506,Munshigiri,2021,6.9,936,6.005206918607708,6.6250001192092896,7.842902348677912,23958393.75815104,6.600000143051148,714.6666666666666
tt13084504,Christmas Overtime,2024,5.4,26,5.985107708534049,5.266666730244955,5.951125619906377,24629269.511692487,5.400000095367432,1966.3333333333333
tt13411298,Josée,2020,6.5,1074,6.15363591029188,6.572222206327651,7.266238180271189,21709165.710378148,6.875,459.3333333333333
tt16589882,Unfix,2023,8.5,19,6.222950643159742,8.5,9.362007847818717,22449168.97011252,8.5,9978.0
tt31924252,Ivan Tsarevich i Seryy Volk 6,2024,5.6,90,6.123929056021521,5.344999972979228,6.312718058456699,58695366.16310725,5.316666642824808,4273.666666666667
tt25728802,Uttwaraan,2022,6.4,18,6.222950643159742,6.400000095367432,7.695135796694977,22449168.97011252,7.166666507720947,4807.333333333333
tt13352420,Naanga Romba Busy,2020,6.0,207,5.885894239644082,5.0,7.291349269014183,28289376.5727412,5.450000047683716,5333.333333333333
tt31416854,Anand Sreebala,2024,6.6,2391,5.97361481336043,6.679999923706054,7.238882195420378,25171932.29877474,6.599999904632568,515.3333333333334
tt4629854,Niemand,2021,7.0,7,5.842337855623179,7.0,7.5727138246390435,19435489.554866266,7.0,317.6666666666667
tt14013598,Oldest Bridesmaid,2021,8.0,8,6.054422441401912,8.0,8.32401297523293,25369272.771426857,8.0,20329.333333333332
tt9024936,Tayna,2022,5.1,43,6.0196453027547605,5.179999971389771,6.117393020283896,55536594.02579968,4.849999904632568,1627.3333333333333
tt15353864,Clap,2022,6.7,354,6.418611257827269,6.699999809265137,7.09992226400095,23254548.319802023,6.699999809265137,495.6666666666667
